World Rank,National Rank,Name,Image URLs,Affiliation,Country,D-Index,Citations,Publications
1,1,Yoshua Bengio,https://s.research.com/images/aec914cd458a74e2b4545dd0746dd22e6bc2382c-65x65.jpeg,University of Montreal,Canada,223,682159,849
2,1,Anil K. Jain,https://s.research.com/images/2a967b4499197336b91a5320a50e13c0f8b608f6-65x65.jpeg,Michigan State University,United States,214,277338,1012
3,1,Andrew Zisserman,https://s.research.com/images/2a3913cff9795e86373ee05a7e526b7395f76c76-65x65.jpeg,University of Oxford,United Kingdom,197,391942,781
4,2,Michael I. Jordan,https://s.research.com/images/56e4335ff90165e81c2e2831225c826fc6141a8b-65x65.png,"University of California, Berkeley",United States,197,266857,835
5,3,Jiawei Han,https://s.research.com/images/42382fdef4ef0953a4202224c4091830bc68678c-65x65.jpeg,University of Illinois at Urbana-Champaign,United States,197,231048,1264
6,1,Luc Van Gool,https://s.research.com/images/5b783cfe660c94b8b39cf9d47ff4451f54844439-65x65.jpeg,"Institute for Computer Science, Artificial Intelligence and Technology (INSAIT)",Bulgaria,191,215777,1564
7,4,Philip S. Yu,https://s.research.com/images/20815a3765631eb9620ba3a4727f1207b14c0e68-65x65.jpeg,University of Illinois at Chicago,United States,191,175961,1999
8,1,Wil M. P. van der Aalst,https://s.research.com/images/fe632259056863c6fa380c782501f67bd4a145a7-65x65.jpeg,RWTH Aachen University,Germany,181,150733,1355
9,2,Bernhard Schölkopf,https://s.research.com/images/a9a59b6ad9d1f2303aef3da2ee9df65f7c1c3b15-65x65.jpeg,Max Planck Institute for Intelligent Systems,Germany,180,228749,1227
10,1,Francisco Herrera,https://s.research.com/images/900c497d066eeefc67149348271940e50a48fc32-65x65.jpeg,University of Granada,Spain,180,142854,1038
11,5,H. Vincent Poor,https://s.research.com/images/b6b090da0867a494f2abe71365f7237077cbd986-65x65.jpeg,Princeton University,United States,175,152228,2410
12,2,Geoffrey E. Hinton,https://s.research.com/images/3a5831dd52ce7c8706f5bc6fb2738d6b72d2f0c2-65x65.png,University of Toronto,Canada,172,730105,435
13,6,Takeo Kanade,https://s.research.com/images/6f00a60e4fcd5fbf6818a59783cf9b7b4e1576a5-65x65.gif,Carnegie Mellon University,United States,170,143765,878
14,7,Trevor Darrell,https://s.research.com/images/0e56a8e14a6cb525c2140d99f97cd05b853575e4-65x65.jpeg,"University of California, Berkeley",United States,168,243475,633
15,8,Jitendra Malik,https://s.research.com/images/2f09aea5c6b3b5def88ee0c3819fe63951ae3fb6-65x65.jpeg,"University of California, Berkeley",United States,167,223154,456
16,1,Rajkumar Buyya,https://s.research.com/images/2994e0b16d912fb948ecd569e9cb13e44187979c-65x65.jpeg,University of Melbourne,Australia,166,145211,1252
17,9,Sebastian Thrun,https://s.research.com/images/4d80db997036e941703dd7f9092340d5fa5c6623-65x65.jpeg,Stanford University,United States,166,144567,428
18,1,Dacheng Tao,https://s.research.com/images/72330d26d0dcc91579ea36cf44d4e93f0e4383c6-65x65.jpeg,Nanyang Technological University,Singapore,166,110459,1299
19,10,Scott Shenker,https://s.research.com/images/2c9cc7b158648c0fb484ff30e10ade6d6ccdc013-65x65.gif,"University of California, Berkeley",United States,164,175704,458
20,3,Klaus-Robert Müller,https://s.research.com/images/967468fe98f892a9bc0489b2efcbb2aeaea7fecb-65x65.jpeg,Technical University of Berlin,Germany,161,131661,749
21,11,Eric Horvitz,https://s.research.com/images/f815cb3d9204c83afd623bb38a483512ddb33d33-65x65.jpeg,Microsoft (United States),United States,159,88393,831
22,12,Georgios B. Giannakis,https://s.research.com/images/fb46443c7e68bdf4b968b19cae6356b6e8aae726-65x65.jpeg,University of Minnesota,United States,158,91665,1279
23,13,Christopher D. Manning,https://s.research.com/images/6bf1bd191eacb6f0cc1a5c48f6f24991c3e00d3b-65x65.jpeg,Stanford University,United States,155,220710,482
24,1,Cordelia Schmid,https://s.research.com/images/376a35467ca3339dc6095c7493cd08f356ac5b14-65x65.gif,French Institute for Research in Computer Science and Automation - INRIA,France,154,154230,493
25,14,Pieter Abbeel,https://s.research.com/images/c38e4529bb7e8f2b643521fa50cbcf72c99705a4-65x65.png,"University of California, Berkeley",United States,154,134167,576
26,15,Ion Stoica,https://s.research.com/images/7d692a71769f773d64ad2dbc09bb5f68309667a6-65x65.jpeg,"University of California, Berkeley",United States,153,140170,476
27,16,Ming-Hsuan Yang,https://s.research.com/images/92e940cef3263b91797ed92bb39ea5c0b9cdf349-65x65.jpeg,"University of California, Merced",United States,153,118673,561
28,17,Sergey Levine,https://s.research.com/images/8cdcafd81b87b9dac22501a46cab3fc92c7ad06f-65x65.png,"University of California, Berkeley",United States,152,120143,552
29,1,Xiaogang Wang,https://s.research.com/images/56632c0c50be32e6c17523925403790b31aaae6f-65x65.jpeg,Chinese University of Hong Kong,China,152,112845,517
30,18,Christos Faloutsos,https://s.research.com/images/cd89b7cdff21ee23a945037fdd48b465e3d1c892-65x65.jpeg,Carnegie Mellon University,United States,151,110837,837
31,19,Alex Pentland,https://s.research.com/images/e15f53d6c0050c85b4a7ece8c8abbad1db421331-65x65.jpeg,MIT,United States,148,137851,762
32,2,Shuicheng Yan,https://s.research.com/images/fe2b011dcfed8f46b631aed9fba7916dd2e88245-65x65.jpeg,National University of Singapore,Singapore,148,94196,792
33,20,Robert W. Heath,https://s.research.com/images/065a3e21457bd4ac3ec79f1747fd732996210732-65x65.jpeg,"University of California, San Diego",United States,148,93805,985
34,2,Zidong Wang,https://s.research.com/images/58bbd9d83bb85b8f54ba35d0fe80c27bec77ee68-65x65.jpeg,Brunel University London,United Kingdom,148,72811,969
35,21,Leonidas J. Guibas,https://s.research.com/images/094d0678ee1b9500cf87999422a9419688ddf1e3-65x65.png,Stanford University,United States,146,119955,645
36,3,Xuemin Shen,https://s.research.com/images/9147c02e3d2f052d8b0a2c15d8a0400ed15c7003-65x65.jpeg,University of Waterloo,Canada,146,86002,1619
37,22,Jure Leskovec,https://s.research.com/images/cde314d781a13f8dc85daf7412b4f4a7b2147cda-65x65.jpeg,Stanford University,United States,145,136744,435
38,23,Jay S. Walker,https://s.research.com/images/f96724542064c4d8b35920390a041e9d23025bd2-65x65.jpeg,Walker Digital (United States),United States,145,67189,359
39,2,Qiang Yang,https://s.research.com/images/6856b85aba961817f0eece572a5e7feb8c189c00-65x65.jpeg,Hong Kong University of Science and Technology,China,144,121158,1149
40,24,Tomaso Poggio,https://s.research.com/images/089e61e0eb38f5d872a9026cd432d50d942da718-65x65.jpeg,MIT,United States,144,118406,593
41,25,Ian Foster,https://s.research.com/images/1869fa7947a907e297bab6c5da18d8dd2db330ce-65x65.jpeg,University of Chicago,United States,143,138925,957
42,26,Dawn Song,https://s.research.com/images/1fcccf5408e4997ddcbaa608c651be67d1c3d4eb-65x65.jpeg,"University of California, Berkeley",United States,143,96738,413
43,4,Bernt Schiele,https://s.research.com/images/41c1d9d732c58c3e5bac2edb9a5026e7ddea6cbf-65x65.jpeg,Max Planck Institute for Informatics,Germany,143,96362,597
44,27,Jack Dongarra,https://s.research.com/images/4fada8055591a36d58ea443b711a9a7672f0d4bd-65x65.png,University of Tennessee at Knoxville,United States,142,101459,1584
45,1,Ian F. Akyildiz,https://s.research.com/images/7191b523b8868133e38ff3b5508eb92637c3fa9a-65x65.jpeg,Technology Innovation Institute,United Arab Emirates,141,142096,685
46,28,Antonio Torralba,https://s.research.com/images/f095ecfaca3d8a3c4c214239c85cbcdf45b3f6d2-65x65.jpeg,MIT,United States,141,124018,388
47,29,Rama Chellappa,https://s.research.com/images/8cb953a3db2085f54f8a47aef418684976790b6c-65x65.jpeg,Johns Hopkins University,United States,141,92131,1100
48,30,Albert-László Barabási,https://s.research.com/images/27d8857b608d201ad7e07f89a4ba9e7c1b8e4197-65x65.jpeg,Northeastern University,United States,140,274143,320
49,31,Alexander J. Smola,https://s.research.com/images/f80a8f23b913b08c81900a781197d09dfdf01357-65x65.jpeg,Amazon (United States),United States,140,164944,424
50,32,Alan L. Yuille,https://s.research.com/images/2b128f77d826f6ea7f9353d7fa152ec2004d8e0b-65x65.jpeg,Johns Hopkins University,United States,140,114873,722
51,33,Don Towsley,https://s.research.com/images/e655608a69856b2319c27a1124f67b4be0ebec11-65x65.jpeg,University of Massachusetts Amherst,United States,140,83018,931
52,3,Zeshui Xu,https://s.research.com/images/6857fc4420cc49fcf4174731a36ffe4930bd38de-65x65.jpeg,Sichuan University,China,140,79777,896
53,34,Li Fei-Fei,https://s.research.com/images/9d69f430e92b98f2ddda10d21532406c0201079f-65x65.jpeg,Stanford University,United States,139,263425,409
54,4,Witold Pedrycz,https://s.research.com/images/8f26754a6e28c7d64ac0734a09fddc5e4185a076-65x65.jpeg,University of Alberta,Canada,139,99778,2247
55,1,Athanasios V. Vasilakos,https://s.research.com/images/2a6ad9cd2162fb88c5145e0074ad7b2310aab3e3-65x65.jpeg,Luleå University of Technology,Sweden,139,66982,862
56,5,Michael J. Black,https://s.research.com/images/3a2809c4a7d28d84b82a129db7dda30109d2db92-65x65.jpeg,Max Planck Institute for Intelligent Systems,Germany,138,88455,442
57,4,Xuelong Li,https://s.research.com/images/fd4a5d63090351649c0c4cf59a4294839fcc0b6a-65x65.jpeg,China Telecom,China,138,74042,1054
58,35,Shih-Fu Chang,https://s.research.com/images/6cb1e330a8f5553261feb3ee1959c8b801b9a232-65x65.jpeg,Columbia University,United States,138,73924,730
59,36,Deborah Estrin,https://s.research.com/images/c003430f792bccdbeff1ca07e1138adc0abc4e39-65x65.jpeg,Cornell University,United States,137,146044,626
60,37,Huan Liu,https://s.research.com/images/4026325414f2d277a2fea29493953049cc3a5793-65x65.jpeg,Arizona State University,United States,137,89443,773
61,5,Dinggang Shen,https://s.research.com/images/ef97d4d3301452c25b5d121e6a1bf7b131f94952-65x65.jpeg,ShanghaiTech University,China,137,78090,1316
62,38,Yann LeCun,https://s.research.com/images/5c0738834ea07cf4112873ab32cb3501c4ac0af6-65x65.jpeg,Facebook (United States),United States,136,289809,384
63,39,Andrew Y. Ng,https://s.research.com/images/655f85eed1748af3047cf38b888d8ed115f32763-65x65.jpeg,Stanford University,United States,136,200356,315
64,40,Dan Boneh,https://s.research.com/images/ee88b4be7f20a9d815256106bd5457c460306456-65x65.jpeg,Stanford University,United States,136,120630,416
65,6,Wolfram Burgard,https://s.research.com/images/2a1bc099402e595a15a1067ac9a1634774d7db43-65x65.jpeg,University of Erlangen-Nuremberg,Germany,136,101677,740
66,41,Daphne Koller,https://s.research.com/images/f4c949ab56621082c4ca2bce64ccb3afdbfe6d68-65x65.jpeg,insitro Inc.,United States,136,96809,302
